PurchaseID,Date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35
1,1/1/2000,yogurt,pork,sandwich bags,lunch meat,all- purpose,flour,soda,butter,vegetables,beef,aluminum foil,all- purpose,dinner rolls,shampoo,all- purpose,mixes,soap,laundry detergent,ice cream,dinner rolls,,,,,,,,,,,,,,,
2,1/1/2000,toilet paper,shampoo,hand soap,waffles,vegetables,cheeses,mixes,milk,sandwich bags,laundry detergent,dishwashing liquid/detergent,waffles,individual meals,hand soap,vegetables,individual meals,yogurt,cereals,shampoo,vegetables,aluminum foil,tortillas,mixes,,,,,,,,,,,,
3,1/2/2000,soda,pork,soap,ice cream,toilet paper,dinner rolls,hand soap,spaghetti sauce,milk,ketchup,sandwich loaves,poultry,toilet paper,ice cream,ketchup,vegetables,laundry detergent,spaghetti sauce,bagels,soap,ice cream,shampoo,lunch meat,cereals,spaghetti sauce,pork,vegetables,cheeses,eggs,vegetables,vegetables,,,,
4,1/2/2000,cereals,juice,lunch meat,soda,toilet paper,all- purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1/2/2000,sandwich loaves,pasta,tortillas,mixes,hand soap,toilet paper,vegetables,vegetables,paper towels,vegetables,flour,vegetables,pork,poultry,eggs,vegetables,pork,spaghetti sauce,vegetables,milk,waffles,individual meals,vegetables,dinner rolls,all- purpose,soda,yogurt,,,,,,,,
6,1/2/2000,laundry detergent,toilet paper,eggs,toilet paper,vegetables,bagels,dishwashing liquid/detergent,cereals,paper towels,laundry detergent,butter,cereals,bagels,paper towels,shampoo,toilet paper,soap,soap,pasta,coffee/tea,poultry,bagels,aluminum foil,butter,spaghetti sauce,ketchup,all- purpose,milk,,,,,,,
7,1/3/2000,individual meals,paper towels,tortillas,vegetables,milk,ice cream,juice,dishwashing liquid/detergent,soap,sandwich bags,pasta,ketchup,all- purpose,yogurt,mixes,mixes,toilet paper,vegetables,beef,sandwich bags,eggs,spaghetti sauce,fruits,toilet paper,,,,,,,,,,,
8,1/4/2000,ice cream,juice,paper towels,waffles,soda,cheeses,poultry,toilet paper,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1/4/2000,juice,poultry,coffee/tea,coffee/tea,dishwashing liquid/detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1/5/2000,ketchup,coffee/tea,toilet paper,pork,flour,milk,soda,dishwashing liquid/detergent,eggs,tortillas,tortillas,vegetables,fruits,sugar,soap,dishwashing liquid/detergent,juice,sandwich loaves,poultry,eggs,flour,bagels,soda,bagels,soda,beef,coffee/tea,dishwashing liquid/detergent,cheeses,beef,soap,lunch meat,pork,waffles,
11,1/5/2000,sandwich loaves,ice cream,soda,bagels,dishwashing liquid/detergent,eggs,sugar,waffles,individual meals,toilet paper,pasta,sandwich loaves,cheeses,vegetables,hand soap,vegetables,vegetables,ketchup,poultry,dinner rolls,dishwashing liquid/detergent,coffee/tea,milk,shampoo,ketchup,sandwich loaves,hand soap,bagels,flour,vegetables,pork,,,,
12,1/6/2000,pork,tortillas,pork,shampoo,lunch meat,pasta,juice,bagels,vegetables,bagels,vegetables,laundry detergent,yogurt,sugar,waffles,hand soap,hand soap,butter,juice,spaghetti sauce,vegetables,flour,,,,,,,,,,,,,
