PurchaseID,Date,Item
1,1/1/2000,laundry detergent
1,1/1/2000,flour
1,1/1/2000,butter
1,1/1/2000,soap
1,1/1/2000,aluminum foil
1,1/1/2000,yogurt
1,1/1/2000,beef
1,1/1/2000,mixes
1,1/1/2000,shampoo
1,1/1/2000,lunch meat
1,1/1/2000,dinner rolls
1,1/1/2000,pork
1,1/1/2000,all- purpose
1,1/1/2000,all- purpose
1,1/1/2000,all- purpose
1,1/1/2000,sandwich bags
1,1/1/2000,ice cream
1,1/1/2000,vegetables
1,1/1/2000,soda
1,1/1/2000,dinner rolls
2,1/1/2000,sandwich bags
2,1/1/2000,hand soap
2,1/1/2000,hand soap
2,1/1/2000,vegetables
2,1/1/2000,vegetables
2,1/1/2000,vegetables
2,1/1/2000,mixes
2,1/1/2000,mixes
2,1/1/2000,waffles
2,1/1/2000,waffles
2,1/1/2000,cheeses
2,1/1/2000,toilet paper
2,1/1/2000,milk
2,1/1/2000,dishwashing liquid/detergent
2,1/1/2000,aluminum foil
2,1/1/2000,cereals
2,1/1/2000,yogurt
2,1/1/2000,individual meals
2,1/1/2000,individual meals
2,1/1/2000,shampoo
2,1/1/2000,shampoo
2,1/1/2000,laundry detergent
2,1/1/2000,tortillas
3,1/2/2000,lunch meat
3,1/2/2000,vegetables
3,1/2/2000,vegetables
3,1/2/2000,vegetables
3,1/2/2000,vegetables
3,1/2/2000,poultry
3,1/2/2000,bagels
3,1/2/2000,soda
3,1/2/2000,spaghetti sauce
3,1/2/2000,spaghetti sauce
3,1/2/2000,spaghetti sauce
3,1/2/2000,eggs
3,1/2/2000,ice cream
3,1/2/2000,ice cream
3,1/2/2000,ice cream
3,1/2/2000,cheeses
3,1/2/2000,toilet paper
3,1/2/2000,toilet paper
3,1/2/2000,dinner rolls
3,1/2/2000,milk
3,1/2/2000,soap
3,1/2/2000,soap
3,1/2/2000,cereals
3,1/2/2000,shampoo
3,1/2/2000,laundry detergent
3,1/2/2000,pork
3,1/2/2000,pork
3,1/2/2000,sandwich loaves
3,1/2/2000,ketchup
3,1/2/2000,ketchup
3,1/2/2000,hand soap
4,1/2/2000,all- purpose
4,1/2/2000,soda
4,1/2/2000,lunch meat
4,1/2/2000,toilet paper
4,1/2/2000,juice
4,1/2/2000,cereals
5,1/2/2000,vegetables
5,1/2/2000,vegetables
5,1/2/2000,poultry
5,1/2/2000,soda
5,1/2/2000,spaghetti sauce
5,1/2/2000,eggs
5,1/2/2000,waffles
5,1/2/2000,paper towels
5,1/2/2000,toilet paper
5,1/2/2000,dinner rolls
5,1/2/2000,milk
5,1/2/2000,flour
5,1/2/2000,yogurt
5,1/2/2000,individual meals
5,1/2/2000,pasta
5,1/2/2000,pork
5,1/2/2000,pork
5,1/2/2000,sandwich loaves
5,1/2/2000,tortillas
5,1/2/2000,all- purpose
5,1/2/2000,hand soap
5,1/2/2000,mixes
5,1/2/2000,vegetables
5,1/2/2000,vegetables
5,1/2/2000,vegetables
5,1/2/2000,vegetables
5,1/2/2000,vegetables
6,1/2/2000,milk
6,1/2/2000,vegetables
6,1/2/2000,poultry
6,1/2/2000,bagels
6,1/2/2000,bagels
6,1/2/2000,bagels
6,1/2/2000,spaghetti sauce
6,1/2/2000,eggs
6,1/2/2000,paper towels
6,1/2/2000,paper towels
6,1/2/2000,toilet paper
6,1/2/2000,toilet paper
6,1/2/2000,toilet paper
6,1/2/2000,coffee/tea
6,1/2/2000,dishwashing liquid/detergent
6,1/2/2000,butter
6,1/2/2000,butter
6,1/2/2000,soap
6,1/2/2000,soap
6,1/2/2000,aluminum foil
6,1/2/2000,cereals
6,1/2/2000,cereals
6,1/2/2000,pasta
6,1/2/2000,shampoo
6,1/2/2000,laundry detergent
6,1/2/2000,laundry detergent
6,1/2/2000,all- purpose
6,1/2/2000,ketchup
7,1/3/2000,all- purpose
7,1/3/2000,spaghetti sauce
7,1/3/2000,mixes
7,1/3/2000,mixes
7,1/3/2000,eggs
7,1/3/2000,ice cream
7,1/3/2000,paper towels
7,1/3/2000,toilet paper
7,1/3/2000,toilet paper
7,1/3/2000,milk
7,1/3/2000,dishwashing liquid/detergent
7,1/3/2000,soap
7,1/3/2000,juice
7,1/3/2000,vegetables
7,1/3/2000,yogurt
7,1/3/2000,individual meals
7,1/3/2000,pasta
7,1/3/2000,beef
7,1/3/2000,tortillas
7,1/3/2000,vegetables
7,1/3/2000,fruits
7,1/3/2000,sandwich bags
7,1/3/2000,sandwich bags
7,1/3/2000,ketchup
8,1/4/2000,toilet paper
8,1/4/2000,poultry
8,1/4/2000,soda
8,1/4/2000,ice cream
8,1/4/2000,waffles
8,1/4/2000,paper towels
8,1/4/2000,cheeses
8,1/4/2000,vegetables
8,1/4/2000,juice
9,1/4/2000,poultry
9,1/4/2000,coffee/tea
9,1/4/2000,coffee/tea
9,1/4/2000,dishwashing liquid/detergent
9,1/4/2000,juice
10,1/5/2000,toilet paper
10,1/5/2000,vegetables
10,1/5/2000,poultry
10,1/5/2000,bagels
10,1/5/2000,bagels
10,1/5/2000,soda
10,1/5/2000,soda
10,1/5/2000,soda
10,1/5/2000,sugar
10,1/5/2000,lunch meat
10,1/5/2000,eggs
10,1/5/2000,eggs
10,1/5/2000,waffles
10,1/5/2000,cheeses
10,1/5/2000,milk
10,1/5/2000,coffee/tea
10,1/5/2000,coffee/tea
10,1/5/2000,flour
10,1/5/2000,flour
10,1/5/2000,dishwashing liquid/detergent
10,1/5/2000,dishwashing liquid/detergent
10,1/5/2000,dishwashing liquid/detergent
10,1/5/2000,soap
10,1/5/2000,soap
10,1/5/2000,juice
10,1/5/2000,beef
10,1/5/2000,beef
10,1/5/2000,pork
10,1/5/2000,pork
10,1/5/2000,sandwich loaves
10,1/5/2000,tortillas
10,1/5/2000,tortillas
10,1/5/2000,fruits
10,1/5/2000,ketchup
11,1/5/2000,milk
11,1/5/2000,vegetables
11,1/5/2000,vegetables
11,1/5/2000,vegetables
11,1/5/2000,poultry
11,1/5/2000,bagels
11,1/5/2000,bagels
11,1/5/2000,soda
11,1/5/2000,sugar
11,1/5/2000,eggs
11,1/5/2000,ice cream
11,1/5/2000,waffles
11,1/5/2000,cheeses
11,1/5/2000,toilet paper
11,1/5/2000,dinner rolls
11,1/5/2000,vegetables
11,1/5/2000,coffee/tea
11,1/5/2000,flour
11,1/5/2000,dishwashing liquid/detergent
11,1/5/2000,dishwashing liquid/detergent
11,1/5/2000,individual meals
11,1/5/2000,pasta
11,1/5/2000,shampoo
11,1/5/2000,pork
11,1/5/2000,sandwich loaves
11,1/5/2000,sandwich loaves
11,1/5/2000,sandwich loaves
11,1/5/2000,ketchup
11,1/5/2000,ketchup
11,1/5/2000,hand soap
11,1/5/2000,hand soap
12,1/6/2000,vegetables
12,1/6/2000,vegetables
12,1/6/2000,vegetables
12,1/6/2000,bagels
12,1/6/2000,bagels
12,1/6/2000,spaghetti sauce
12,1/6/2000,sugar
12,1/6/2000,lunch meat
12,1/6/2000,waffles
12,1/6/2000,flour
12,1/6/2000,butter
12,1/6/2000,juice
12,1/6/2000,juice
12,1/6/2000,yogurt
12,1/6/2000,pasta
12,1/6/2000,shampoo
12,1/6/2000,laundry detergent
12,1/6/2000,pork
12,1/6/2000,pork
12,1/6/2000,tortillas
12,1/6/2000,hand soap
12,1/6/2000,hand soap
13,1/7/2000,shampoo
13,1/7/2000,sugar
13,1/7/2000,sugar
13,1/7/2000,ice cream
13,1/7/2000,ice cream
13,1/7/2000,paper towels
13,1/7/2000,vegetables
13,1/7/2000,toilet paper
13,1/7/2000,flour
13,1/7/2000,soap
13,1/7/2000,soap
13,1/7/2000,aluminum foil
13,1/7/2000,aluminum foil
13,1/7/2000,juice
13,1/7/2000,individual meals
13,1/7/2000,shampoo
13,1/7/2000,bagels
